primary_identifier,next_month_plan
2003793,1
1776101,1
6945050,3
2472049,2
7197266,1
2099980,1
4515595,1
4155971,1
4203824,1
4397850,2
5564784,3
8042819,3
4887835,2
7876737,1
8586725,2
4192710,6
8692886,5
2734029,2
8619873,5
8591720,8
2736902,4
1302512,8
6236339,8
2515939,2
4007286,3
4189111,5
1198957,4
7630599,1
5179554,3
3849110,6
9921234,6
7846621,3
3063762,5
7230281,1
7645170,1
9834627,2
1561943,6
8159623,5
4745105,3
6238198,2
6536712,2
6835837,4
9840782,7
9817473,8
4677724,2
8757935,6
9670187,2
1530338,5
4057212,6
8766616,4
7031680,1
1491069,3
7532437,6
9660215,5
4478979,3
8803684,2
2673030,3
3225354,4
7152868,6
3179169,1
2224348,7
7604192,4
3982237,5
5566730,1
5654973,1
1776383,1
3854674,2
1919483,7
4651764,1
4474656,2
1795642,6
6065257,5
2785623,6
6818861,4
5879576,6
6302710,1
7664304,2
7612029,7
2827711,4
2466639,4
7181670,1
4657905,1
9911891,7
1812207,1
5788490,5
2018132,4
4750385,1
7389653,5
4829600,3
5870369,3
1664193,5
5738994,6
3891124,1
4956977,5
2280455,1
5442145,2
9690915,2
2879482,6
1676804,1
1413694,1
9095217,1
3440394,4
7639903,3
7843616,4
8658882,1
1129960,5
2195886,1
4147033,3
7484224,4
1053494,2
5054202,4
7522183,1
9272428,5
2668629,1
6887862,7
2408222,5
6827205,1
5479278,1
7293700,4
6211646,7
2287562,4
9906740,4
6712888,5
7215367,1
4619709,1
4991295,3
8862316,3
1405780,7
2823054,1
6666497,5
8970659,4
5808184,1
5629721,1
1354971,8
7028838,3
6628173,5
2450232,1
1158974,2
3553918,4
7451075,5
6551842,7
2712784,6
6403752,4
2917990,2
2290191,2
2806364,1
2547943,3
1106746,8
9535518,6
5828115,1
3576888,1
1261876,2
6435719,5
1906946,4
4965840,2
9299909,1
1472878,1
1754200,5
4550812,8
6195783,1
1827020,2
1143355,5
7463157,1
6548879,4
3315170,4
7683859,2
8096711,2
6037264,5
3882846,4
5924179,4
5703892,1
1145961,8
2437167,4
1280772,4
2527454,6
6522603,2
8349253,2
8041643,6
2504295,7
3880218,1
9117275,6
2941924,1
2318131,2
4759027,4
3193576,5
6501833,2
2086725,4
1741042,1
9227318,7
2159580,5
4113682,4
8022158,1
8762907,3
9452509,3
8942397,1
1349385,3
8647776,6
1693664,4
1006766,1
